plant	deficiency	light	date	time	NL	H	Fv.Fm	RMR	LMR	SMR	TDM	RAD	RLR	Chl_a	Chl_b	Chl_a.b	Chl_total
15C	C	High	2018-10-11	4	10	21.1	0.772							0.951	1.429	0.665	2.381
16C	C	High	2018-10-11	4	10	16.6	0.812	0.301	0.523	0.176	1.335	2.405	0.575				
17C	C	High	2018-10-11	4	10	17.5	0.810	0.267	0.529	0.204	1.898	2.313	0.504				
18C	C	High	2018-10-11	4	12	26.7	0.822	0.164	0.642	0.194	1.421	1.758	0.255				
19C	C	High	2018-10-11	4	14	22	0.818							1.804	2.824	0.639	4.628
1C	C	High	2018-10-11	4	11	22.4	0.812							2.196	3.478	0.631	5.674
20C	C	High	2018-10-11	4	10	26	0.813							1.384	2.124	0.651	3.508
2C	C	High	2018-10-11	4	11	23	0.829	0.223	0.531	0.246	1.491	1.697	0.419				
3C	C	High	2018-10-11	4	9	23	0.813	0.223	0.562	0.215	1.880	2.095	0.398				
4C	C	High	2018-10-11	4	10	19.5	0.823	0.276	0.540	0.184	1.658	2.391	0.511				
5C	C	High	2018-10-11	4	9	16	0.829	0.263	0.521	0.216	1.533	2.013	0.504				
6C	C	High	2018-10-11	4	10	16.9	0.801	0.256	0.561	0.182	1.804	2.416	0.456				
7C	C	High	2018-10-11	4	12	21.2	0.812	0.304	0.517	0.179	1.702	2.572	0.588				
8C	C	High	2018-10-11	4	9	15.5	0.823	0.247	0.580	0.173	1.823	2.486	0.426				
9C	C	High	2018-10-11	4	12	20.5	0.816	0.258	0.550	0.192	1.579	2.208	0.469				
21C	C	Low	2018-09-19	1	8	8.5	0.826										
22C	C	Low	2018-09-19	1	5	6.8	0.827										
23C	C	Low	2018-09-19	1	7	8.8	0.815										
24C	C	Low	2018-09-19	1	8	9.8	0.818										
25C	C	Low	2018-09-19	1	5	6	0.818										
26C	C	Low	2018-09-19	1	7	5	0.806										
27C	C	Low	2018-09-19	1	5	7.5	0.817										
28C	C	Low	2018-09-19	1	5	5.5	0.787										
29C	C	Low	2018-09-19	1	5	4.8	0.790										
30C	C	Low	2018-09-19	1	8	7.5	0.822										
31C	C	Low	2018-09-19	1	7	8.8	0.799										
32C	C	Low	2018-09-19	1	5	4	0.805										
33C	C	Low	2018-09-19	1	5	7	0.806										
34C	C	Low	2018-09-19	1	5	5	0.798										
35C	C	Low	2018-09-19	1	6	7	0.812										
36C	C	Low	2018-09-19	1	6	7.6	0.816										
37C	C	Low	2018-09-19	1	5	7.5	0.809										
38C	C	Low	2018-09-19	1	5	7.5	0.789										
39C	C	Low	2018-09-19	1	7	8	0.818										
40C	C	Low	2018-09-19	1	8	9	0.814										
21C	C	Low	2018-09-27	2	11	9.3	0.800										
22C	C	Low	2018-09-27	2	7	8	0.806										
23C	C	Low	2018-09-27	2	7	11.9	0.796										
24C	C	Low	2018-09-27	2	9	11	0.792										
25C	C	Low	2018-09-27	2	6	7.5	0.797										
26C	C	Low	2018-09-27	2	9	6.9	0.794										
27C	C	Low	2018-09-27	2	6	9.1	0.807										
28C	C	Low	2018-09-27	2	7	8.5	0.802										
29C	C	Low	2018-09-27	2	6	6.7	0.784										
30C	C	Low	2018-09-27	2	11	9.5	0.791										
31C	C	Low	2018-09-27	2	8	11.9	0.808										
32C	C	Low	2018-09-27	2	5	5.5	0.806										
33C	C	Low	2018-09-27	2	6	8	0.815										
34C	C	Low	2018-09-27	2	6	8.3	0.812										
35C	C	Low	2018-09-27	2	7	9.7	0.796										
36C	C	Low	2018-09-27	2	8	7.3	0.798										
37C	C	Low	2018-09-27	2	7	12.6	0.801										
38C	C	Low	2018-09-27	2	7	9.2	0.796										
39C	C	Low	2018-09-27	2	8	10.9	0.812										
40C	C	Low	2018-09-27	2	9	11.4	0.791										
21C	C	Low	2018-10-04	3	12	9.3	0.815										
22C	C	Low	2018-10-04	3	7	8	0.814										
23C	C	Low	2018-10-04	3	10	11.9	0.825										
24C	C	Low	2018-10-04	3	9	11	0.817										
25C	C	Low	2018-10-04	3	7	7.5	0.776										
26C	C	Low	2018-10-04	3	10	6.9	0.768										
27C	C	Low	2018-10-04	3	6	9.1	0.752										
28C	C	Low	2018-10-04	3	7	8.5	0.826										
29C	C	Low	2018-10-04	3	6	6.7	0.789										
30C	C	Low	2018-10-04	3	11	9.5	0.825										
31C	C	Low	2018-10-04	3	10	11.9	0.807										
32C	C	Low	2018-10-04	3	6	5.5	0.787										
33C	C	Low	2018-10-04	3	7	8	0.797										
34C	C	Low	2018-10-04	3	7	8.3	0.780										
35C	C	Low	2018-10-04	3	8	9.7	0.830										
36C	C	Low	2018-10-04	3	8	7.3	0.796										
37C	C	Low	2018-10-04	3	7	12.6	0.815										
38C	C	Low	2018-10-04	3	7	9.2	0.817										
39C	C	Low	2018-10-04	3	9	10.9	0.768										
40C	C	Low	2018-10-04	3	8	11.4	0.818										
21C	C	Low	2018-10-11	4	15	17	0.805							1.171	1.832	0.639	3.003
22C	C	Low	2018-10-11	4	7	11	0.788	0.263	0.566	0.171	0.544	1.848	0.465				
23C	C	Low	2018-10-11	4	10	18	0.796							1.108	1.706	0.649	2.814
24C	C	Low	2018-10-11	4	9	15	0.797	0.221	0.605	0.173	1.008	1.888	0.366				
25C	C	Low	2018-10-11	4	8	18.4	0.797	0.206	0.578	0.216	0.534	1.261	0.357				
26C	C	Low	2018-10-11	4	12	11.5	0.812	0.264	0.539	0.198	0.295	1.494	0.489				
27C	C	Low	2018-10-11	4	8	18	0.796	0.193	0.570	0.237	0.408	1.048	0.339				
28C	C	Low	2018-10-11	4	7	14.2	0.811	0.190	0.648	0.162	0.574	1.546	0.293				
29C	C	Low	2018-10-11	4	7	13	0.769	0.233	0.597	0.170	0.433	1.629	0.390				
30C	C	Low	2018-10-11	4	13	15.3	0.814	0.259	0.551	0.190	0.552	1.669	0.470				
31C	C	Low	2018-10-11	4	12	25.2	0.794							1.186	1.807	0.656	2.993
32C	C	Low	2018-10-11	4	7	8.8	0.813	0.287	0.579	0.133	0.435	2.405	0.496				
33C	C	Low	2018-10-11	4	8	15.7	0.810	0.252	0.551	0.196	0.439	1.529	0.458				
34C	C	Low	2018-10-11	4	8	15.7	0.782	0.231	0.577	0.192	0.536	1.508	0.400				
35C	C	Low	2018-10-11	4	10	14.1	0.811							0.943	1.490	0.633	2.433
36C	C	Low	2018-10-11	4	9	10.3	0.802	0.230	0.623	0.147	0.702	1.994	0.369				
37C	C	Low	2018-10-11	4	10	20.1	0.818	0.201	0.585	0.214	0.669	1.329	0.343				
38C	C	Low	2018-10-11	4	8	15.7	0.817	0.224	0.578	0.198	0.638	1.496	0.386				
39C	C	Low	2018-10-11	4	9	20.5	0.809							0.961	1.445	0.665	2.405
40C	C	Low	2018-10-11	4	11	17.4	0.814	0.229	0.556	0.215	0.542	1.367	0.412				
